100 1000
72 55 327
72 98 291
72 49 61
72 27 226
72 73 367
72 91 46
72 39 281
58 100 32
58 25 245
58 61 279
58 8 77
58 44 416
58 22 114
58 45 184
58 99 6
58 42 352
58 79 32
58 20 292
58 13 310
58 52 190
58 89 82
35 100 250
35 58 382
35 26 498
35 76 240
35 55 217
35 38 13
35 86 217
35 45 325
35 41 99
35 13 232
35 74 407
35 85 209
99 100 121
99 83 89
99 69 205
99 38 215
99 49 462
99 30 298
99 18 73
99 74 400
99 81 96
99 82 184
5 100 103
5 71 258
5 58 371
5 11 421
5 1 282
5 60 426
5 42 216
5 65 442
5 41 389
5 9 443
5 59 245
5 89 245
19 100 59
19 71 410
19 57 146
19 64 389
19 43 293
19 75 198
19 33 456
19 94 131
100 25 235
100 31 395
100 29 69
100 83 59
100 69 203
100 76 69
100 1 120
100 6 235
100 42 83
100 73 489
100 41 70
100 23 61
100 80 286
100 28 211
29 25 64
29 90 343
29 3 281
29 49 263
29 75 425
29 79 97
29 73 296
29 20 54
29 94 86
29 10 232
29 82 111
29 89 332
7 25 408
7 71 54
7 26 254
7 98 443
7 30 490
7 84 183
7 12 427
92 25 81
92 21 134
92 40 340
92 63 106
92 76 122
92 53 44
92 27 390
92 59 343
92 10 245
92 89 312
87 25 160
87 31 315
87 29 99
87 76 222
87 49 293
87 30 209
87 96 370
87 84 377
87 23 338
87 94 182
87 97 279
87 89 318
65 25 355
65 40 82
65 42 152
65 78 393
65 23 289
65 18 428
65 94 409
18 95 233
18 57 346
18 83 426
18 43 342
18 86 406
18 46 314
18 97 343
18 68 51
18 67 130
18 39 67
18 37 409
23 95 235
23 31 32
23 17 203
23 41 177
23 9 370
23 15 45
23 74 258
23 97 322
60 95 272
60 14 402
60 83 16
60 76 201
60 79 126
60 24 126
60 41 392
60 23 408
60 93 353
60 97 363
60 68 483
60 82 179
60 7 207
60 34 461
24 95 182
24 58 215
24 11 22
24 44 303
24 3 85
24 30 498
24 65 433
24 19 394
24 62 306
24 78 204
24 34 66
24 37 30
11 95 438
11 21 106
11 58 196
11 51 311
11 63 169
11 48 278
11 70 311
11 53 257
11 23 98
97 95 419
97 31 394
97 2 111
97 35 164
97 16 390
97 65 115
97 78 166
97 91 319
97 15 304
97 4 146
78 95 22
78 31 26
78 58 96
78 8 80
78 27 218
78 20 94
78 91 210
78 9 414
20 95 360
20 61 20
20 71 103
20 76 238
20 41 186
20 23 208
20 15 223
20 34 469
20 28 139
20 85 381
20 37 280
12 95 254
12 5 147
12 21 329
12 72 287
12 64 478
12 46 92
12 17 453
12 9 165
12 80 222
12 18 249
12 10 327
12 52 260
42 95 108
42 11 433
42 69 14
42 53 99
42 16 174
42 20 380
42 59 469
42 15 272
42 94 470
42 97 332
2 31 398
2 40 133
2 8 92
2 35 493
2 86 190
2 27 105
2 79 147
2 12 422
2 9 393
2 47 444
6 31 451
6 26 346
6 16 488
6 20 330
81 31 220
81 5 24
81 71 12
81 11 483
81 51 183
81 2 185
81 63 176
81 8 382
81 35 10
81 96 214
81 42 183
81 82 0
76 31 290
76 2 368
76 24 330
76 91 393
76 59 465
76 15 257
76 47 412
76 82 7
76 85 27
88 31 384
88 58 485
88 90 149
88 43 90
88 99 117
88 23 120
88 4 387
88 34 130
88 37 395
22 31 331
22 57 125
22 35 304
22 1 28
22 38 493
22 96 365
22 42 273
22 75 2
22 9 221
22 18 104
22 74 460
22 81 177
31 14 92
31 61 60
31 58 81
31 51 304
31 83 445
31 63 94
31 77 52
31 48 423
31 70 75
31 98 494
31 3 140
31 30 322
31 45 49
31 53 305
31 24 127
31 94 384
80 14 435
80 21 449
80 2 302
80 79 177
80 78 221
80 87 325
80 15 315
80 10 64
80 28 64
80 85 119
9 14 206
9 35 448
9 86 394
9 98 265
9 41 483
9 80 299
9 56 88
13 14 370
13 90 436
13 32 187
13 62 394
13 52 167
25 14 330
25 21 2
25 72 271
25 36 72
25 64 92
25 22 383
25 77 420
25 50 437
25 1 24
25 86 356
25 49 331
25 24 352
25 80 241
25 4 316
25 34 446
25 85 118
21 14 131
21 40 98
21 90 438
21 77 176
21 1 188
21 46 386
21 99 439
21 23 495
21 59 272
21 13 12
21 97 214
21 34 69
95 5 481
95 61 58
95 21 487
95 26 427
95 8 8
95 38 152
95 6 305
95 75 210
95 16 2
95 87 136
95 94 275
95 74 227
95 10 473
95 39 348
95 85 199
94 5 252
94 2 444
94 24 323
94 9 409
56 5 440
56 71 413
56 26 191
56 3 105
56 6 193
56 99 488
56 84 483
56 19 395
56 91 476
56 80 406
56 33 268
56 94 230
56 82 316
52 5 29
52 30 340
52 6 38
52 23 351
52 68 173
74 5 200
74 63 19
74 24 316
14 61 275
14 29 112
14 8 313
14 44 447
14 69 177
14 55 32
14 48 269
14 3 377
14 45 151
14 27 190
14 20 212
14 87 463
14 47 7
14 94 451
14 74 121
14 68 275
14 67 167
14 39 168
43 61 126
43 26 100
43 49 248
43 75 471
43 92 408
43 16 391
43 80 350
43 74 284
69 61 302
69 26 412
69 8 139
69 70 192
69 79 13
69 65 99
69 20 343
69 87 101
69 9 233
69 13 21
84 61 88
84 40 4
84 64 465
84 69 333
84 90 332
84 70 345
84 43 327
84 17 232
84 20 250
84 62 290
84 59 232
84 33 293
32 61 365
32 51 422
32 35 186
32 48 373
32 6 111
32 46 104
32 65 432
32 52 59
32 37 261
38 61 367
38 51 273
38 2 382
38 36 159
38 63 435
38 49 222
38 17 95
38 47 133
38 39 243
64 71 458
64 83 116
64 35 162
64 69 445
64 22 384
64 20 465
64 33 174
64 74 265
57 21 379
57 2 4
57 35 416
57 69 126
57 38 100
57 46 78
57 75 264
57 33 274
57 54 466
57 56 204
57 82 415
96 21 256
96 11 319
96 2 186
96 63 347
96 48 349
96 86 265
96 46 464
96 78 244
96 9 172
96 97 440
96 56 285
55 21 465
55 3 293
55 45 353
55 87 56
55 59 298
82 21 395
82 2 160
82 35 116
82 44 11
82 38 189
82 6 35
82 79 83
82 65 248
82 19 176
82 41 432
82 87 275
82 94 31
82 97 90
82 67 418
30 21 323
30 58 142
30 26 84
30 88 112
30 76 170
30 53 50
30 93 105
30 97 250
30 85 294
33 29 415
33 96 264
33 99 478
33 80 422
33 18 314
33 7 410
33 28 3
93 58 275
93 51 28
93 26 59
93 57 203
93 83 174
93 35 101
93 69 193
93 1 441
93 24 207
93 12 499
93 41 164
73 11 325
73 2 430
73 22 306
73 86 32
73 79 195
73 20 252
73 59 362
73 18 477
73 93 403
73 54 359
28 11 50
28 76 352
28 1 490
28 45 332
28 99 312
17 11 244
17 76 23
17 50 63
17 70 258
17 45 64
17 96 366
17 75 492
17 93 332
17 33 314
17 74 157
17 97 109
17 7 403
17 28 63
10 51 182
10 60 387
10 99 215
10 42 226
10 87 470
10 15 215
10 94 437
10 54 255
67 51 262
67 40 463
67 22 65
67 41 75
67 87 80
67 91 397
67 97 387
67 68 494
67 34 256
1 51 410
1 40 360
1 44 236
1 45 54
1 92 322
1 84 169
1 73 359
1 47 211
1 34 344
90 72 463
90 60 134
90 70 234
90 38 222
90 53 390
90 75 349
90 65 128
90 32 92
90 93 46
47 72 350
47 44 40
47 27 218
47 24 60
47 65 193
47 73 95
47 41 387
47 80 348
47 18 244
47 52 163
47 89 220
50 26 248
50 8 498
50 35 376
50 70 81
50 86 88
50 73 324
50 62 498
50 87 288
50 18 335
50 33 295
50 97 49
50 52 456
50 28 459
8 57 345
8 35 297
8 90 253
8 1 398
8 3 22
8 30 413
8 6 50
8 32 191
8 59 319
8 67 450
8 85 347
46 40 32
46 35 85
46 38 424
46 17 438
46 99 117
46 75 93
46 79 241
46 84 112
46 15 463
46 33 259
46 82 325
85 40 91
85 63 410
85 55 379
85 17 167
85 19 333
85 41 61
85 94 62
85 68 25
85 82 388
85 52 460
85 89 327
85 37 362
15 40 222
15 49 394
15 99 215
15 52 255
15 89 178
41 83 130
41 36 419
41 88 418
41 86 289
41 46 326
41 32 233
41 97 140
68 83 209
68 64 102
68 43 177
68 91 64
68 59 148
68 47 167
68 4 347
68 56 59
68 39 238
68 28 294
75 83 73
75 70 36
75 23 400
75 80 160
75 67 438
75 85 106
59 63 483
59 50 142
59 12 304
59 78 439
16 63 192
16 8 78
16 64 492
16 20 291
16 62 203
16 81 75
16 52 416
16 34 233
36 35 174
36 64 459
36 70 400
36 99 164
36 75 7
36 24 379
36 65 393
3 64 55
3 38 404
3 86 215
3 30 175
3 46 185
3 84 432
3 41 3
3 78 230
3 91 134
3 9 3
3 47 225
3 4 292
3 97 407
3 68 336
3 7 316
3 34 354
3 89 475
27 64 50
27 50 301
27 70 229
27 24 341
27 12 485
27 73 95
27 32 412
27 87 111
27 33 62
27 67 220
49 88 386
49 76 49
49 60 240
49 30 190
49 17 51
49 42 244
49 24 447
49 16 63
49 12 322
49 20 32
49 10 287
49 39 330
49 28 374
89 88 83
89 55 250
89 6 293
89 27 285
89 24 83
89 9 280
89 80 346
79 44 137
79 90 492
79 98 302
79 17 385
79 99 79
79 20 225
79 23 184
79 33 344
79 52 252
79 89 178
63 69 483
63 60 272
63 6 282
63 27 319
63 79 195
63 32 297
63 23 390
63 9 68
63 18 430
63 94 431
63 4 486
63 54 209
62 22 310
62 38 376
62 98 355
62 99 326
62 42 364
62 12 252
62 10 375
62 89 407
98 77 460
98 49 453
98 84 70
98 65 465
98 33 391
98 54 439
98 85 365
40 50 190
40 60 258
40 53 484
40 18 21
40 81 135
40 54 116
40 34 295
86 60 362
86 6 453
86 99 466
86 27 374
86 92 13
86 84 163
86 87 168
86 97 0
86 28 370
51 60 232
51 86 482
51 98 204
51 53 64
51 33 123
51 74 116
51 54 204
51 89 394
83 86 173
83 96 288
83 17 87
83 19 391
83 20 367
83 13 388
83 67 98
83 52 451
83 7 59
4 86 77
4 41 488
4 78 426
4 82 451
54 23 386
